movieId,imdbId,tmdbId,title,genres,userId,rating,timestamp,tag
1,114709,862,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1,4,964982703,funny
2,113497,8844,Jumanji (1995),Adventure|Children|Fantasy,1,4,964981247,Highly quotable
3,113228,15602,Grumpier Old Men (1995),Comedy|Romance,1,4,964982224,will ferrell
4,114885,31357,Waiting to Exhale (1995),Comedy|Drama|Romance,1,5,964983815,Boxing story
5,113041,11862,Father of the Bride Part II (1995),Comedy,1,5,964982931,MMA
6,113277,949,Heat (1995),Action|Crime|Thriller,1,3,964982400,Tom Hardy
7,114319,11860,Sabrina (1995),Comedy|Romance,1,5,964980868,drugs
8,112302,45325,Tom and Huck (1995),Adventure|Children,1,4,964982176,Leonardo DiCaprio
9,114576,9091,Sudden Death (1995),Action,1,5,964984041,Martin Scorsese
10,113189,710,GoldenEye (1995),Action|Adventure|Thriller,1,5,964984100,way too long
11,112346,9087,"American President, The (1995)",Comedy|Drama|Romance,1,5,964983650,Al Pacino
12,112896,12110,Dracula: Dead and Loving It (1995),Comedy|Horror,1,5,964981208,gangster
13,112453,21032,Balto (1995),Adventure|Animation|Children,1,3,964980985,mafia
14,113987,10858,Nixon (1995),Drama,1,5,964981179,Al Pacino
15,112760,1408,Cutthroat Island (1995),Action|Adventure|Romance,1,4,964980908,Mafia
16,112641,524,Casino (1995),Crime|Drama,1,5,964981680,holocaust
17,114388,4584,Sense and Sensibility (1995),Drama|Romance,1,3,964982967,true story
18,113101,5,Four Rooms (1995),Comedy,1,3,964982310,twist ending
19,112281,9273,Ace Ventura: When Nature Calls (1995),Comedy,1,5,964981179,Anthony Hopkins
20,113845,11517,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1,4,964982563,courtroom drama
21,113161,8012,Get Shorty (1995),Comedy|Crime|Thriller,1,4,964980962,twist ending
22,112722,1710,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1,5,964982588,britpop
23,112401,9691,Assassins (1995),Action|Crime|Thriller,1,4,964981710,indie record label
